Code,Entity,wb_region,income_level
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ALB,Albania,Europe & Central Asia,Upper middle income
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
AND,Andorra,Europe & Central Asia,High income
AGO,Angola,Sub-Saharan Africa,Lower middle income
ATG,Antigua and Barbuda,Latin America & Caribbean,High income
ARG,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,Europe & Central Asia,Upper middle income
ABW,Aruba,Latin America & Caribbean,High income
AUS,Australia,East Asia & Pacific,High income
AUT,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,Europe & Central Asia,Upper middle income
BHS,Bahamas,Latin America & Caribbean,High income
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
BGD,Bangladesh,South Asia,Lower middle income
BRB,Barbados,Latin America & Caribbean,High income
BLR,Belarus,Europe & Central Asia,Upper middle income
BEL,Belgium,Europe & Central Asia,High income
BLZ,Belize,Latin America & Caribbean,Upper middle income
BEN,Benin,Sub-Saharan Africa,Lower middle income
BMU,Bermuda,North America,High income
BTN,Bhutan,South Asia,Lower middle income
BOL,Bolivia,Latin America & Caribbean,Lower middle income
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BWA,Botswana,Sub-Saharan Africa,Upper middle income
BRA,Brazil,Latin America & Caribbean,Upper middle income
VGB,British Virgin Islands,Latin America & Caribbean,High income
BRN,Brunei,East Asia & Pacific,High income
BGR,Bulgaria,Europe & Central Asia,High income
BFA,Burkina Faso,Sub-Saharan Africa,Low income
BDI,Burundi,Sub-Saharan Africa,Low income
KHM,Cambodia,East Asia & Pacific,Lower middle income
CMR,Cameroon,Sub-Saharan Africa,Lower middle income
CAN,Canada,North America,High income
CPV,Cape Verde,Sub-Saharan Africa,Upper middle income
CYM,Cayman Islands,Latin America & Caribbean,High income
CAF,Central African Republic,Sub-Saharan Africa,Low income
TCD,Chad,Sub-Saharan Africa,Low income
CHL,Chile,Latin America & Caribbean,High income
CHN,China,East Asia & Pacific,Upper middle income
COL,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,Sub-Saharan Africa,Lower middle income
COG,Congo,Sub-Saharan Africa,Lower middle income
